STATION,LAT,LONG,TOT. PERCIP.,COUNT,AVG. PERCIP.
ALGONQUIN PARK EAST GATE,45.53,-78.27,897.8,357,2.514845938
APPLETON,45.19,-76.11,913,355,2.571830986
ATIKOKAN (AUT),48.76,-91.63,739.7,346,2.137861272
BALACLAVA,44.67,-80.78,1218,365,3.336986301
BALDWIN,44.27,-79.32,761.3,350,2.175142857
BANCROFT AUTO,45.07,-77.88,1030.4,350,2.944
BARRIE-ORO,44.48,-79.55,954.1,354,2.69519774
BARWICK,48.63,-93.97,696.7,342,2.037134503
BIG TROUT LAKE READAC,53.82,-89.9,591.5,358,1.652234637
BLACKSTOCK,44.1,-78.83,934.3,365,2.559726027
BLOOMFIELD,43.98,-77.22,871.5,365,2.387671233
BONNER LAKE,49.38,-82.12,748.3,365,2.050136986
BROCKVILLE CLIMATE,44.64,-75.75,1003.3,363,2.763911846
BROCKVILLE PCC,44.6,-75.67,1128.6,364,3.100549451
CAMERON FALLS (AUT),49.15,-88.34,619.2,356,1.739325843
CENTREVILLE,44.4,-76.91,933.1,353,2.643342776
CHAPLEAU A,47.82,-83.35,619.4,365,1.696986301
CHATSWORTH,44.4,-80.91,1221.4,357,3.421288515
COBOURG (AUT),43.95,-78.17,814.8,365,2.232328767
COLLINGWOOD,44.5,-80.22,780,363,2.148760331
CORNWALL,45.02,-74.75,1001,353,2.835694051
DELHI CS,42.87,-80.55,912.9,363,2.514876033
DORCHESTER,43,-81.03,996.7,365,2.730684932
DRUMMOND CENTRE,45.03,-76.25,948.6,359,2.642339833
DUNCHURCH,45.62,-79.88,892.2,365,2.444383562
EAR FALLS (AUT),50.63,-93.22,747.5,362,2.064917127
EARLTON AWOS,47.7,-79.85,570.5,360,1.584722222
EARLTON CLIMATE,47.7,-79.85,921.7,363,2.539118457
EGBERT CS,44.23,-79.78,743.5,362,2.053867403
ELLIOT LAKE A,46.35,-82.56,866.6,365,2.374246575
ELORA RCS,43.65,-80.42,768.2,351,2.188603989
FERGUS MOE,43.7,-80.38,890.1,357,2.493277311
FERGUS SHAND DAM,43.73,-80.33,931.6,363,2.566391185
FLINT,48.35,-89.68,714.3,363,1.967768595
FOLDENS,43.02,-80.78,1009.9,354,2.852824859
FORT FRANCES A,48.65,-93.43,816.1,360,2.266944444
FORT FRANCES RCS,48.65,-93.44,802.5,361,2.22299169
GERALDTON A,49.78,-86.93,641.1,365,1.756438356
GODERICH,43.77,-81.72,736.1,364,2.022252747
GRIMSBY MOUNTAIN,43.18,-79.56,932.6,365,2.555068493
HALIBURTON 3,45.03,-78.53,1015.5,356,2.85252809
HAMILTON A,43.17,-79.93,971.2,365,2.660821918
HAMILTON RBG CS,43.29,-79.91,914.9,365,2.506575342
HARROW CDA AUTO,42.03,-82.9,758.9,363,2.090633609
HARTINGTON IHD,44.43,-76.69,965.4,365,2.644931507
JAMESTOWN,43.8,-81.18,1109.5,350,3.17
KALADAR,44.65,-77.12,1038,364,2.851648352
KAPUSKASING A,49.41,-82.47,702.6,365,1.924931507
KEMPTVILLE CS,45,-75.63,837,345,2.426086957
KENORA A,49.79,-94.37,908.5,365,2.489041096
KENORA RCS,49.79,-94.38,701.5,334,2.100299401
KINGSTON CLIMATE,44.22,-76.6,842.5,351,2.4002849
KINGSVILLE MOE,42.04,-82.67,710.2,343,2.070553936
KIRKLAND LAKE CS,48.15,-80,713.4,363,1.965289256
