Row Labels,Max of Latitude,Max of Longitude,Sum of MeanTemp(C),Count of MeanTemp(C)2,Average of MeanTemp(C)2
ALGONQUIN PARK EAST GATE,45.53,-78.27,1199.6,362,3.313812155
ARMSTRONG (AUT),50.29,-88.91,-291.7,358,-0.814804469
ATIKOKAN (AUT),48.76,-91.63,677,365,1.854794521
BALDWIN,44.27,-79.32,2237.7,343,6.523906706
BANCROFT AUTO,45.07,-77.88,1543,365,4.22739726
BARRIE-ORO,44.48,-79.55,1872.9,365,5.131232877
BARWICK,48.63,-93.97,1020.8,354,2.883615819
BEATRICE CLIMATE,45.14,-79.4,1529.5,361,4.236842105
BIG TROUT LAKE READAC,53.82,-89.9,-807.3,356,-2.267696629
BLACKSTOCK,44.1,-78.83,2260.1,354,6.384463277
BONNER LAKE,49.38,-82.12,361.9,358,1.010893855
BORDEN AWOS,44.27,-79.91,1985.5,361,5.5
BROCKVILLE CLIMATE,44.64,-75.75,2287.7,365,6.267671233
BROCKVILLE PCC,44.6,-75.67,2371.9,338,7.017455621
BURLINGTON PIERS (AUT),43.3,-79.8,3138.4,360,8.717777778
CAMERON FALLS (AUT),49.15,-88.34,773.6,364,2.125274725
CENTREVILLE,44.4,-76.91,2414.3,350,6.898
CHAPLEAU A,47.82,-83.35,691,364,1.898351648
COBOURG (AUT),43.95,-78.17,2553.7,364,7.015659341
COLLINGWOOD,44.5,-80.22,2477.6,351,7.058689459
CORNWALL,45.02,-74.75,2474.6,334,7.408982036
DELHI CS,42.87,-80.55,2746.8,363,7.566942149
DRUMMOND CENTRE,45.03,-76.25,1924.9,341,5.644868035
DRYDEN A (AUT),49.83,-92.74,767.2,362,2.119337017
DUNCHURCH,45.62,-79.88,1515.1,347,4.366282421
EAR FALLS (AUT),50.63,-93.22,378.9,358,1.058379888
EARLTON AWOS,47.7,-79.85,821.8,363,2.263911846
EARLTON CLIMATE,47.7,-79.85,818,362,2.259668508
EGBERT CS,44.23,-79.78,2213.8,364,6.081868132
ELLIOT LAKE A,46.35,-82.56,1582.3,360,4.395277778
ELORA RCS,43.65,-80.42,2159.5,364,5.932692308
ERIEAU (AUT),42.25,-81.9,3173.6,363,8.742699725
FERGUS MOE,43.7,-80.38,2068.2,350,5.909142857
FERGUS SHAND DAM,43.73,-80.33,2329.8,352,6.61875
FLINT,48.35,-89.68,828,352,2.352272727
FOLDENS,43.02,-80.78,2670.8,350,7.630857143
FORT FRANCES A,48.65,-93.43,737.7,340,2.169705882
FORT FRANCES RCS,48.65,-93.44,785.4,362,2.16961326
GERALDTON A,49.78,-86.93,232.2,365,0.636164384
GLEN ALLAN,43.68,-80.71,2324.2,340,6.835882353
GODERICH,43.77,-81.72,2589.9,362,7.15441989
GORE BAY  AWOS,45.88,-82.57,1885.2,362,5.207734807
GRENADIER ISLAND,44.42,-75.85,2693.7,361,7.461772853
GRIMSBY MOUNTAIN,43.18,-79.56,3220.9,365,8.824383562
HALIBURTON 3,45.03,-78.53,1580.6,359,4.402785515
HAMILTON A,43.17,-79.93,2683.8,364,7.373076923
HAMILTON RBG CS,43.29,-79.91,2886.4,364,7.92967033
HARROW CDA AUTO,42.03,-82.9,2985.6,359,8.31643454
HARTINGTON IHD,44.43,-76.69,2371.4,346,6.853757225
KALADAR,44.65,-77.12,2038.3,351,5.807122507
KAPUSKASING A,49.41,-82.47,439.7,365,1.204657534
KEMPTVILLE CS,45,-75.63,2096.7,356,5.889606742
KENORA A,49.79,-94.37,901.4,362,2.490055249
KENORA RCS,49.79,-94.38,1228.7,338,3.635207101
KILLARNEY (AUT),45.97,-81.48,1839.3,365,5.039178082
KINGSTON CLIMATE,44.22,-76.6,2506.6,354,7.08079096
KIRKLAND LAKE CS,48.15,-80,532.5,351,1.517094017
